population;mutation factor;crossover chance;selection;succession;crossover mode;score
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;825.9825691721555
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;833.4820147629845
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;815.9053175824694
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;818.5396352821181
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;810.9113994678883
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;803.7555170636396
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;825.4269319009378
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;796.5001128136439
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;808.3520442590869
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;843.0486468386671
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;821.9495308604475
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;877.8694708948019
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;859.9870902503775
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;872.4884440546664
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;869.8828654664042
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;878.9754795115873
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;842.4845016396525
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;862.1850210063571
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;857.353562934391
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;871.4571871808761
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;884.0897695249819
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;832.7584924831971
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;869.4640956833721
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;862.6665500936848
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;854.7750035065284
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;865.3831280589615
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;858.517366764441
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;868.6417112573974
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;865.955848147648
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;862.9499800729761
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;854.3711553067122
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;869.2975004822335
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;867.5057604645381
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;880.3614262884538
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;844.6767865858585
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;840.7275893555807
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;860.2257833316814
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;871.9296096144915
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;858.5425784847911
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;855.5967503547827
7;0.003823018553855695;0.6650888638033956;exp;tourny;hor-slice;873.0675570874122
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;836.7792093897723
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;827.9761455443723
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;841.7520118127467
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;825.5569639722451
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;843.5375920858173
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;839.8907680488594
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;808.7348728528499
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;821.8563903118578
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;824.9904054758898
19;0.03059854989141253;0.14824859014958225;exp;tourny;vert-slice;822.982765763405
